country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
ITA,Italy,3.4943,98.88193,77.04,2.173273544,1.600570011,3.01556,95349.5333,55.35173939,0.017965658,Europe & Central Asia,35.9,0.98343,24875.78929,1.74119,42767.81362,0.75162,19012.28634,2.72462,67643.60291,3.47624,86655.88925,1,9178.49845,9490.088741,7929.92525,1294.6035,545.50159,4296.335,3.324477,2.7693425,0.5551345,0.47606142,0.16053373,0.31552769,25.064354,24.017296,29.260033,1
JAM,Jamaica,2.4069,88.32058,62.64,0.349528783,0.11171,1.34032,19298.45739,,0.001293025,Latin America & Caribbean,45.5,1.81781,500.07971,1.98871,547.09503,0.92089,253.33539,3.80652,1047.17474,4.72741,1300.51013,0,,,,,,,,,,,,,,,,0
JOR,Jordan,2.3372,78.31182,79.096,1.067669135,0.336700001,1.87016,37316.90022,,0.003578515,Middle East & North Africa,33.7,1.48978,1490.78867,1.28059,1281.4582,0.29211,292.30672,2.77037,2772.24687,3.06248,3064.55359,0,,,,,,,,,,,,,,,,1
JPN,Japan,3.8657,,90.396,1.992993788,0.974089992,,74784.47642,43.02005066,0.010255671,East Asia & Pacific,32.9,1.11637,56667.34219,1.32911,67466.58713,0.63643,32305.73762,2.44548,124133.9293,3.08191,156439.6669,1,8487.0107,9212.0615,5883.5737,3409.0261,750.45245,12955.161,2.86304472,2.4306943,0.43235042,1.15001556,0.19801437,0.95200119,29.508898,24.712667,46.730717,1
KAZ,Kazakhstan,2.8457,99.64386,99.484,2.366068483,0.13411,2.52355,47710.98287,,0.015198617,Europe & Central Asia,27.5,0.01721,80.33844,2.04184,8796.42105,0.24542,1145.75756,2.05905,8876.75949,2.30447,10022.51705,0,,,,,,,,,,,,,,,,0
KEN,Kenya,1.9877,85.07385,31.566,0.218845531,0.04845,0.40317,7462.609617,,0.017335292,Sub-Saharan Africa,40.8,1.91555,3051.55878,2.2015,3507.10434,0.68917,1097.88681,4.11705,6558.66312,4.80622,7656.54993,0,,,,,,,,,,,,,,,,0
KGZ,Kyrgyzstan,2.3779,98.32657,97.212,0.970632655,0.030580001,2.27982,9628.912203,,0.049829422,Europe & Central Asia,27.7,,,,,0.18269,57.14463,,,,,0,,,,,,,,,,,,,,,,0
KHM,Cambodia,0.8347,94.52292,18.556,0.681267468,0.02022,0.68766,6075.790728,2.474308727,0.044943402,East Asia & Pacific,,0.92518,475.42648,0.84111,432.22871,0.12508,59.9925,1.76629,907.65519,1.89137,967.64769,0,,,,,,,,,,,,,,,,0
KIR,Kiribati,,97.97466,,,0.047820001,,,,,East Asia & Pacific,37,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
KNA,St. Kitts and Nevis,,99.10862,,0,1.030289996,3.43333,,,,Latin America & Caribbean,,0.56522,7.40005,1.40168,18.87017,0.40592,5.31447,1.9669,26.27022,2.37282,31.58469,0,,,,,,,,,,,,,,,,0
KOR,"Korea, Republic of",3.765,97.9544,89.512,2.112703848,1.47197001,4.7973,73114.66015,35.43524568,0.020706522,East Asia & Pacific,31.6,1.37358,28040.159,1.67599,34213.57022,0.886,18086.73949,3.04957,62253.72922,3.93557,80340.46871,1,8636.7686,11093.521,4054.6672,3344.5449,1610.7214,6578.3086,3.62502376,3.0310405,0.59398326,1.40377216,0.44009131,0.96368085,29.222006,30.985203,25.933458,1
KSV,Kosovo,3.0355,,,,,,,,,Europe & Central Asia,29,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
KWT,Kuwait,3.5746,97.12302,52.612,0.75709735,0.396509993,2.40303,77798.64915,,-0.121810786,Middle East & North Africa,,1.02984,1749.94011,1.38829,2359.04377,,,2.41813,4108.98388,,,0,,,,,,,,,,,,,,,,0
LAO,Laos,1.5096,93.89681,34.856,0.0303898,0.03187,0.90849,12577.83444,,0.061591972,East Asia & Pacific,36.4,1.19401,491.00386,1.1339,466.28644,0.40578,166.86596,2.32791,957.2903,2.73369,1124.15626,0,,,,,,,,,,,,,,,,0
LBN,Lebanon,2.0161,,54.22,2.314323164,0.370630002,,44767.18956,,-0.01134543,Middle East & North Africa,31.8,,,0.41575,431.13225,0.69912,724.99076,,,,,0,,,,,,,,,,,,,,,,1
LBR,Liberia,1.276,90.59959,22.182,0.136817286,0.01135,0.5214,2686.278878,,0.015786602,Sub-Saharan Africa,35.3,1.09535,70.996,1.38106,89.51458,0.56092,30.50109,2.47641,160.51058,3.03733,191.01167,0,,,,,,,,,,,,,,,,0
LCA,St. Lucia,,97.66887,45.42,0,0.04797,0.80319,29214.08696,,0.010883128,Latin America & Caribbean,51.2,1.16843,31.11004,1.34186,35.72772,0,0,2.51029,66.83776,2.51029,66.83776,0,,,,,,,,,,,,,,,,1
LIE,Liechtenstein,,97.44948,,,3.042989969,1.6107,,,,Europe & Central Asia,,0.98715,,1.21229,,,,2.19944,,,,0,,,,,,,,,,,,,,,,0
LKA,Sri Lanka,2.4174,96.9068,78.876,0.223195921,0.06954,0.90175,35732.4002,18.57255693,0.047070561,South Asia,39.8,0.6342,1767.98761,0.97165,2708.73733,0.4406,1228.29519,1.60585,4476.72494,2.04645,5705.02013,0,,,,,,,,,,,,,,,,1
LSO,Lesotho,3.2637,91.92257,23.612,0.093217746,0.02174,0.59162,9596.913844,,0.043018957,Sub-Saharan Africa,44.9,3.90876,245.1491,2.10006,131.71124,0.51745,32.4532,6.00882,376.86034,6.52627,409.31354,0,,,,,,,,,,,,,,,,0
LTU,Lithuania,3.4857,99.87968,92.52,4.956013595,1.159080005,3.66025,64653.40345,35.06117367,0.024488572,Europe & Central Asia,37.3,0.73772,705.69917,1.44188,1379.30075,0.75285,720.17851,2.1796,2084.99992,2.93245,2805.17843,1,5827.08473,5804.042995,5900.38729,825.39099,290.22061,2527.8921,2.92351433,2.2565254,0.66698893,0.42351474,0.11329954,0.3102152,19.669546,18.019066,24.920111,1
LUX,Luxembourg,3.8428,97.55981,99.434,2.333322449,2.891490006,0.87161,138440.3476,91.14768408,0.01518342,Europe & Central Asia,34.9,1.04796,705.07165,1.58059,1063.42413,0.46011,309.56466,2.62855,1768.49578,3.08866,2078.06044,1,22611.91198,20696.833,49100.6453,712.09583,547.55951,2987.907,3.03052166,2.5973377,0.43318396,0.0988025,0.0708509,0.0279516,20.695354,18.850117,46.21809,1
LVA,Latvia,3.4734,98.53581,99.006,3.480075534,0.927259991,3.27496,58128.31667,31.00841875,0.036127392,Europe & Central Asia,35.6,1.34621,744.89214,1.46347,809.77724,0.69481,384.45357,2.80968,1554.66938,3.50449,1939.12295,1,6242.13027,6423.794912,5616.31098,879.3407,342.10342,2730.0752,3.42000664,2.788463,0.63154364,0.49465166,0.14914706,0.3455046,24.983368,23.735958,29.280586,1
MAR,Morocco,1.0592,94.8773,28.488,0.217692364,0.138840002,1.21722,21985.55055,,0.032185139,Middle East & North Africa,39.5,2.29122,5356.0511,2.71144,6338.38362,,,5.00266,11694.43472,,,0,,,,,,,,,,,,,,,,0
MCO,Monaco,,,,,3.558140016,,,,,Europe & Central Asia,,0.17413,,0.43134,,,,0.60547,,,,0,,,,,,,,,,,,,,,,0
MDA,Moldova,2.7368,91.62136,95.216,0.344226184,0.15419,1.91638,15944.25669,,0.028144807,Europe & Central Asia,25.7,1.26921,424.95582,1.95813,655.62111,0.64736,216.75033,3.22734,1080.57693,3.8747,1297.32726,0,,,,,,,,,,,,,,,,0
MDG,Madagascar,0.2789,98.0401,,0.050952519,0.01175,0.24991,3117.522155,,0.013103828,Sub-Saharan Africa,42.6,1.10835,381.05769,0.4528,155.67535,0.00016,0.06107,1.56115,536.73304,1.56131,536.79411,0,,,,,,,,,,,,,,,,0
MDV,Maldives,1.9709,98.38381,37.22,0,0.05042,0.90252,34325.39987,,0.041090082,South Asia,31.3,1.45843,146.46487,0.86256,86.62411,0.8441,70.57312,2.32099,233.08898,3.16509,303.6621,0,,,,,,,,,,,,,,,,1
MEX,Mexico,1.045,99.56609,56.742,1.09260215,0.16442,1.68421,42198.72239,18.71340239,0.020183357,Latin America & Caribbean,45.4,1.49102,36829.22404,1.50492,37172.68595,0.91119,22507.1621,2.99594,74001.90999,3.90713,96509.07209,1,2772.6335,2483.8071,4594.29,547.75458,318.75397,1992.0836,3.66971651,2.8375438,0.83217271,0.72497999,0.36414999,0.36083,16.583151,13.996947,32.894596,1
MHL,Marshall Islands,,83.82782,92.1,,0.097200001,1.2183,,,,East Asia & Pacific,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
MKD,Republic of North Macedonia,2.5644,94.60591,48.18,1.196356998,0.397190002,1.9988,36063.63903,,0.014506197,Europe & Central Asia,34.2,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
MLI,Mali,1.1109,64.73299,11.61,0.07166494,0.0138,0.30704,6193.543382,,0.029608334,Sub-Saharan Africa,33,1.6918,704.1406,1.40136,583.25664,0.65472,272.49771,3.09316,1287.39724,3.74788,1559.89495,0,,,,,,,,,,,,,,,,0
MLT,Malta,3.7184,99.43079,74.102,1.411532077,1.259070021,2.18256,91021.77494,44.61782296,0.049382446,Middle East & North Africa,29.2,0.95007,184.76734,1.92017,373.42773,1.25682,244.42208,2.87024,558.19507,4.12706,802.61715,0,,,,,,,,,,,,,,,,1
MMR,Myanmar,0.8754,94.12882,22.63,0.003851958,0.00517,0.78732,9648.012583,3.957569178,0.055880721,East Asia & Pacific,30.7,0.7019,1950.64752,0.74154,2060.82451,0.28265,785.51199,1.44344,4011.47203,1.72609,4796.98402,0,,,,,,,,,,,,,,,,0
MNE,Montenegro,3.5388,96.9168,89.908,0.318735411,0.600290006,2.72618,51085.2304,,0.044959977,Europe & Central Asia,39,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
MNG,Mongolia,2.8404,98.5087,86.952,1.028306289,0.12319,3.06746,30939.51186,,0.054198812,East Asia & Pacific,32.7,1.31719,463.94465,1.19494,420.88677,0.26202,92.29154,2.51213,884.83142,2.77415,977.12296,0,,,,,,,,,,,,,,,,1
MOZ,Mozambique,1.0177,89.94306,15.046,0.022089779,0.011,0.29607,3236.581745,,0.045521661,Sub-Saharan Africa,54,3.01159,897.11468,1.87153,557.50507,0.83724,249.40375,4.88312,1454.61975,5.72036,1704.0235,0,,,,,,,,,,,,,,,,0
MRT,Mauritania,0.3211,74.94082,16.566,0.098707571,0.01099,0.29229,11202.73071,,0.000566335,Sub-Saharan Africa,32.6,0.92774,218.20567,0.50053,117.72575,0.35201,82.7942,1.42827,335.93142,1.78028,418.72562,0,,,,,,,,,,,,,,,,0
MUS,Mauritius,3.3007,98.41859,59.26,0.636109778,0.194829999,1.8839,50913.20351,,0.051921921,Sub-Saharan Africa,36.8,1.07125,301.81359,2.93508,826.92849,0.33222,93.59886,4.00633,1128.74208,4.33855,1222.34094,0,,,,,,,,,,,,,,,,1
MWI,Malawi,0.9048,98.30791,18.764,0.097816422,0.03156,0.036666667,2578.910757,,0.005026497,Sub-Saharan Africa,44.7,2.08558,358.88939,1.3655,234.97665,1.09723,188.81239,3.45108,593.86604,4.54831,782.67843,0,,,,,,,,,,,,,,,,0
MYS,Malaysia,3.1441,98.58923,74.436,1.02981327,0.875760001,2.10603,55396.49684,24.74966106,0.021887788,East Asia & Pacific,41,1.51821,13751.85792,1.56407,14167.30177,0.9466,8574.24831,3.08228,27919.15969,4.02888,36493.408,0,,,,,,,,,,,,,,,,1
NAM,Namibia,1.1483,96.80089,37.394,0.253432252,0.112270001,1.12164,37195.92735,,0.034427446,Sub-Saharan Africa,59.1,0.63039,154.18224,0.60366,147.64633,1.62627,377.72073,1.23405,301.82857,2.86032,679.5493,0,,,,,,,,,,,,,,,,1
NER,Niger,1.1322,60.79861,5.88,0,0.00725,0.13939,2046.904979,,0.009169285,Sub-Saharan Africa,34.3,1.24221,311.72781,0.45467,114.09751,0.60042,150.67367,1.69688,425.82532,2.2973,576.49899,0,,,,,,,,,,,,,,,,0
NGA,Nigeria,1.178,65.98485,,0.0818127,0.03679,0.4917,12815.9031,7.013803505,-0.061962401,Sub-Saharan Africa,35.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
NIC,Nicaragua,1.1382,96.77095,43.408,0.750759067,0.01782,,11864.58141,,0.033871804,Latin America & Caribbean,46.2,1.78525,479.5074,0.5934,159.38231,1.16807,313.73577,2.37865,638.88971,3.54672,952.62548,0,,,,,,,,,,,,,,,,0
NLD,Netherlands,3.4648,98.59678,88.432,3.666116908,3.059229994,3.77083,94300.58591,65.94340738,0.01434844,Europe & Central Asia,28.5,1.14918,10896.33853,2.09729,19886.13925,1.58791,15056.23608,3.24647,30782.47778,4.83438,45838.71386,1,11275.74599,10403.8495,14356.7096,2533.5759,1527.5869,6088.3711,4.159009,3.030706,1.128303,0.94796795,0.44549283,0.50247512,24.949602,21.556784,36.938568,1
NOR,Norway,3.8674,99.73119,95.524,5.10042367,3.588479972,3.7862,109817.0784,77.47388019,-0.014889955,Europe & Central Asia,27,1.85965,6176.55393,2.21488,7356.39941,2.11109,7011.6623,4.07453,13532.95334,6.18562,20544.61564,1,16235.91694,14767.793,21789.44491,408.28458,80.262611,1649.1068,6.4440811,4.6549961,1.789085,0.16271849,0.02529979,0.1374187,31.211863,27.843662,43.952896,1
NPL,Nepal,0.9848,97.79176,31.076,0.028265524,0.039390001,0.69713,4328.771242,,0.023591847,South Asia,32.8,1.99142,1349.20111,1.23399,836.03477,0.39991,270.93828,3.22541,2185.23588,3.62532,2456.17416,0,,,,,,,,,,,,,,,,0
NRU,Nauru,,91.88521,,,0.17196,,,,,East Asia & Pacific,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
NZL,New Zealand,3.5956,98.69843,96.012,6.669538105,2.877560019,4.12863,72533.02121,41.40012626,0.022461562,East Asia & Pacific,,1.62862,3056.65587,2.27609,4271.84741,1.49767,2810.87348,3.90471,7328.50328,5.40238,10139.37676,1,8224.6553,8239.5283,8160.9863,2873.2488,1697.4318,7906.9849,4.69304563,3.8112679,0.88177773,1.63949575,0.78516231,0.85433344,28.478304,25.499208,41.231979,1
OMN,Oman,2.9039,98.89655,58.976,2.21048361,0.343709993,1.45128,51568.33726,,-0.106408843,Middle East & North Africa,,1.4608,2027.3616,2.36888,3287.6205,1.28951,1743.83788,3.82968,5314.9821,5.11919,7058.81998,0,,,,,,,,,,,,,,,,0
PAK,Pakistan,0.3123,68.26347,35.472,0.207215884,0.066830001,0.43995,16527.10682,7.884527283,0.027089695,South Asia,33.5,0.82286,6686.1099,0.99084,8050.99898,0.64109,5757.11996,1.8137,14737.10888,2.45479,20494.22884,0,,,,,,,,,,,,,,,,0
PAN,Panama,2.1621,92.04047,66.964,0.769382938,0.12528,2.26555,48316.59235,,0.042221579,Latin America & Caribbean,49.2,0.74145,641.79562,0.70848,613.25998,0.69678,662.11247,1.44993,1255.0556,2.14671,1917.16807,0,,,,,,,,,,,,,,,,1
PER,Peru,1.0899,99.31204,61.128,0.578505046,0.065440001,3.03587,22636.71425,11.71394811,0.020446417,Latin America & Caribbean,42.8,1.25617,5246.92352,1.28558,5369.72891,0.69642,2908.88446,2.54175,10616.65243,3.23817,13525.53689,0,,,,,,,,,,,,,,,,0
PHL,Philippines,1.0435,95.61094,70.242,0.507176793,0.02449,1.65629,20574.07187,9.575729431,0.050604992,East Asia & Pacific,44.4,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
PLW,Palau,,96.00305,97.1,,0.826069996,2.7345,,,,East Asia & Pacific,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
PNG,Papua New Guinea,0.5101,92.6692,11.652,,0.02046,,,,,East Asia & Pacific,41.9,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
POL,Poland,3.6369,96.23551,83.34,1.150541365,1.054940003,3.38505,67226.56,33.14109824,0.024616325,Europe & Central Asia,29.7,1.43942,16481.98817,1.36005,15573.17653,1.07614,12322.26816,2.79947,32055.1647,3.87561,44377.43286,1,7196.76838,6912.602,8184.413541,946.87598,684.31573,1859.4269,3.71630119,2.7626728,0.95362839,0.49949422,0.28033161,0.21916261,27.326008,25.491465,33.702118,1
PRK,"Korea, Democratic Republic of",2.885,97.7525,,,0.00343,1.45083,,,,East Asia & Pacific,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
PRT,Portugal,3.4546,99.46573,48.53,3.308567037,2.027640021,3.02226,57428.58645,30.82297892,-0.007567694,Europe & Central Asia,33.8,1.47507,5026.9735,2.22697,7589.4381,0.80092,2729.49932,3.70204,12616.4116,4.50296,15345.91092,1,8576.96176,8739.5967,7913.09848,1642.868,1095.986,3875.2036,4.24743245,3.5480182,0.69941425,0.83034814,0.44493793,0.38541021,30.888596,29.72724,35.629169,1
PRY,Paraguay,0.5317,89.814525,43.286,0.274898104,0.02875,2.0214,17485.44881,,0.022860795,Latin America & Caribbean,46.2,1.25281,1032.32616,1.07546,886.18777,0.80203,660.87576,2.32827,1918.51393,3.1303,2579.38969,0,,,,,,,,,,,,,,,,0
QAT,Qatar,3.6184,97.12487,61.772,1.28460697,0.97268002,0.58864,115187.9726,,-0.116884477,Middle East & North Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ROU,Romania,2.3359,93.59748,88.762,1.001251885,0.731579995,2.60232,62494.91767,34.60405655,0.056187242,Europe & Central Asia,36,0.38146,2031.67857,1.24409,6626.15577,0.71582,3812.54618,1.62555,8657.83434,2.34137,12470.38052,0,,,,,,,,,,,,,,,,1
RUS,Russia,2.6244,99.24394,93.762,0.916268432,0.46674,3.86504,49284.5085,24.96682295,-0.018685044,Europe & Central Asia,37.5,,,,,0.77745,29688.95629,,,,,0,5324.972661,5188.527277,5814.553765,764.66016,193.32411,2814.6829,3.00214026,2.2961954,0.70594486,0.43280002,0.08557305,0.34722697,23.350643,20.636663,33.088734,1
RWA,Rwanda,2.964,95.72597,12.94286,0.127968742,0.02457,0.38321,3827.502651,,0.044645711,Sub-Saharan Africa,43.7,0.878,201.54905,1.17571,269.89167,0.6093,139.8688,2.05371,471.44072,2.66301,611.30952,0,,,,,,,,,,,,,,,,0
SAU,Saudi Arabia,2.9905,97.1169,66.776,0.905033041,0.528320006,2.55545,105821.6557,,-0.063187646,Middle East & North Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
SDN,Sudan,0.4551,58.33184,16.104,0.10079135,0.01827,0.825,20462.72646,,0.01336205,Sub-Saharan Africa,34.2,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
SEN,Senegal,2.3521,74.7055,13.748,0.041354407,0.04505,0.5129,9430.562585,,0.018879554,Sub-Saharan Africa,40.3,1.53079,804.48987,0.81298,427.24965,1.58729,834.17954,2.34377,1231.73952,3.93106,2065.91906,0,,,,,,,,,,,,,,,,0
SGP,Singapore,3.6716,99.976,77.912,1.770025389,3.339249969,3.7266,128391.7799,57.37599762,0.01533298,East Asia & Pacific,,0.72789,3806.48227,0.65218,3410.56997,0.87305,4565.59449,1.38007,7217.05224,2.25312,11782.64673,0,,,,,,,,,,,,,,,,1
SLB,Solomon Islands,1.1644,94.25186,,,0.05914,,,,,East Asia & Pacific,37.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
SLE,Sierra Leone,1.3917,97.78417,21.21,0.028299278,0.01235,,4383.583336,,0.010230697,Sub-Saharan Africa,35.7,2.99333,401.884,1.47145,197.55623,3.09636,415.71797,4.46478,599.44023,7.56114,1015.1582,0,,,,,,,,,,,,,,,,0
SLV,El Salvador,0.9246,91.46973,41.246,0.795878248,0.01664,1.53325,16425.11486,,0.00969064,Latin America & Caribbean,38.6,1.65844,917.42207,1.22219,676.09611,0.32947,182.25899,2.88063,1593.51818,3.2101,1775.77717,0,,,,,,,,,,,,,,,,0
SMR,San Marino,,97.545175,,,0.717140009,2.47266,,,,Europe & Central Asia,,1.2252,24.56693,1.14201,22.89886,0.23642,4.74048,2.36721,47.46579,2.60363,52.20627,0,,,,,,,,,,,,,,,,0
SOM,Somalia,0.3015,,,,0.0015,,,,,Sub-Saharan Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
SRB,Serbia,2.7367,97.63919,86.372,0.80645427,1.001670009,2.68235,30641.81944,,-0.009659275,Europe & Central Asia,36.2,1.71792,1891.03952,2.49125,3018.99442,0.98965,1199.29271,4.20917,4910.03394,5.19882,6109.32665,0,,,,,,,,,,,,,,,,1
SSD,South Sudan,0.110142857,39.10981429,33.2,,0.0008,,,,,Sub-Saharan Africa,46.3,0.56135,93.52223,0.18876,35.60847,0.77868,60.57332,0.75011,129.1307,1.52879,189.70402,0,,,,,,,,,,,,,,,,0
STP,Sao Tome and Principe,2.1073,90.64729,38.25,0,0.02331,0.47539,12064.17891,,0.022647443,Sub-Saharan Africa,56.3,2.0925,15.10763,0.84754,6.11919,0.35991,2.59851,2.94004,21.22682,3.29995,23.82533,0,,,,,,,,,,,,,,,,0
SUR,Suriname,2.2427,88.63656,56.02858,0.365280745,0.064480001,,37390.05601,,-0.020066577,Latin America & Caribbean,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
SVK,Slovakia,2.4918,94.84674,98.405,1.272467685,1.314809996,2.52562,69750.6965,39.96646173,0.01354507,Europe & Central Asia,25.2,0.88245,1483.51656,1.70312,2863.15357,0.78592,1321.23097,2.58557,4346.67013,3.37149,5667.9011,1,6534.93812,6168.091693,8325.09898,1026.7305,542.54486,3389.4934,3.12396344,2.4686137,0.65534974,0.49518858,0.21716528,0.2780233,24.46295,21.709757,37.898186,1
SVN,Slovenia,3.8721,99.51904,96.904,1.862537242,2.795839977,3.88932,70898.12023,42.83644003,0.023133312,Europe & Central Asia,24.2,1.36659,1034.98598,1.64746,1247.70209,0.946,716.4546,3.01405,2282.68807,3.96005,2999.14267,1,8896.33614,8376.473481,11126.14692,1000.5229,846.5481,1660.9561,3.75255511,2.8984173,0.85413781,0.42819445,0.29380046,0.13439399,26.995676,25.157648,34.879398,1
SWE,Sweden,3.1574,99.80221,87.428,5.302314297,3.579770017,3.43813,96119.54134,59.72793479,0.012616308,Europe & Central Asia,28.8,1.89126,10031.8654,2.1224,11257.8967,1.79499,9521.20015,4.01366,21289.7621,5.80865,30810.96225,1,14019.66181,12338.735,22615.9586,485.45602,,2968.0908,5.1854326,3.8679825,1.3174501,,,0.18193995,27.527681,23.416342,48.553181,1
SWZ,Eswatini,1.3419,85.51681,27.714,0.154573207,0.09695,0.37517,30566.38375,,-0.006093146,Sub-Saharan Africa,54.6,3.59085,335.23562,2.40772,224.78085,0.94267,88.00629,5.99857,560.01647,6.94124,648.02276,0,,,,,,,,,,,,,,,,1
SYC,Seychelles,3.547,98.69011,,2.144691749,0.487359992,0.43169,55139.12906,,0.040725076,Sub-Saharan Africa,46.8,1.35154,33.80953,1.20029,30.0258,0.95652,23.92771,2.55183,63.83533,3.50835,87.76304,0,,,,,,,,,,,,,,,,1
TCD,Chad,0.8287,71.2697,5.757,0.059155038,0.00262,0.14206,3865.600875,,-0.069464213,Sub-Saharan Africa,43.3,1.03007,251.31506,0.4476,109.20375,0.23168,56.52379,1.47767,360.51881,1.70935,417.0426,0,,,,,,,,,,,,,,,,0
TGO,Togo,3.1587,92.41515,33.882,0.055449165,0.01944,0.55533,3478.888237,,0.032913834,Sub-Saharan Africa,43.1,3.1747,355.16783,0.79378,88.80362,0.88525,103.35184,3.96848,443.97145,4.85373,547.32329,0,,,,,,,,,,,,,,,,0
THA,Thailand,1.8407,98.0825,41.526,0.496045215,0.19623,2.50508,29746.82808,13.61133339,0.044225383,East Asia & Pacific,36.4,1.69522,18232.56116,1.22958,13224.43416,0.64142,6898.6724,2.9248,31456.99532,3.56622,38355.66772,0,,,,,,,,,,,,,,,,1
TJK,Tajikistan,0.9331,98.82245,93.258,0.217944285,0.01454,1.33374,12140.00614,,0.058742094,Europe & Central Asia,34,,,,,0.52029,124.11155,,,,,0,,,,,,,,,,,,,,,,0
TKM,Turkmenistan,2.5599,,,0.036638473,0.00406,0.3983,44728.45,,0.058425338,Europe & Central Asia,,,,,,0.28139,157.18501,,,,,0,,,,,,,,,,,,,,,,1
TLS,Timor-Leste,0.911,93.15416,,,0.01823,1.01855,,,,East Asia & Pacific,28.7,4.87689,186.97413,2.24103,85.91859,0.30898,11.8461,7.11792,272.89272,7.4269,284.73882,0,,,,,,,,,,,,,,,,0
TON,Tonga,,98.76179,89.498,,0.11696,,,,,East Asia & Pacific,37.6,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
TTO,Trinidad and Tobago,3.3346,98.56915,67.386,0.443384064,0.26487,,85527.07436,,0.065044915,Latin America & Caribbean,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
TUN,Tunisia,2.1994,98.78733,44.142,0.575099868,0.588519996,1.71832,36872.53978,,0.013711811,Middle East & North Africa,32.8,,,4.72187,5553.39532,1.57896,1857.02137,,,,,0,,,,,,,,,,,,,,,,1
TUR,Turkey,1.3386,94.7361,49.938,0.6482977,0.495829999,4.20994,79620.33905,43.46088376,0.031140606,Europe & Central Asia,41.9,,,,,,,,,,,1,4225.71268,3367.128948,7794.179868,1360.4459,1227.3572,1913.5929,3.7736718,2.4307236,1.3429482,1.22037597,0.8874636,0.33291237,19.803062,16.287561,34.414284,1
TUV,Tuvalu,,90.65293,,,0.215170004,,,,,East Asia & Pacific,39.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
TWN,Taiwan,3.7418,,,3.064012796,,,95801.46308,48.13367042,0.024922842,East Asia & Pacific,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
TZA,Tanzania,2.0042,86.97788,12.032,0.06145887,0.02418,0.17371,5410.626032,,0.029594817,Sub-Saharan Africa,40.5,1.66368,1754.28324,0.61836,652.03957,0.72434,763.78905,2.28204,2406.32281,3.00638,3170.11186,0,,,,,,,,,,,,,,,,0
UGA,Uganda,1.1966,95.06763,30.142,0.13112764,0.03399,0.22701,4804.753899,,-0.000647971,Sub-Saharan Africa,42.8,1.14191,811.17498,0.4739,336.64603,0.31455,223.4485,1.61581,1147.82101,1.93036,1371.26951,0,,,,,,,,,,,,,,,,0
UKR,Ukraine,3.0228,91.9363,94.494,0.611036166,0.236780003,3.92936,26238.88229,,0.032874873,Europe & Central Asia,26.1,1.17327,5917.38889,1.66335,8389.09305,1.35255,6821.58494,2.83662,14306.48194,4.18917,21128.06688,0,,,,,,,,,,,,,,,,1
URY,Uruguay,2.9947,99.5443,52.552,1.419433408,0.379889998,2.91257,42225.66196,27.20117391,0.011174477,Latin America & Caribbean,39.7,1.15442,859.73488,1.65676,1233.84079,1.24239,925.24906,2.81118,2093.57567,4.05357,3018.82473,0,,,,,,,,,,,,,,,,1
