country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
BIH,Bosnia and Herzegovina,2.673,,70.06,0.958497343,0.283459996,,58714.88351,,0.043617268,Europe & Central Asia,33,,,3.37963,1508.05421,0.74967,339.25192,,,,,0,,,,,,,,,,,,,,,,1
BLR,Belarus,3.6367,98.9361,90.11,1.516436077,0.19725,4.03301,37588.72864,,-0.004652214,Europe & Central Asia,25.2,,,2.41949,4200.9557,0.79014,1371.91688,,,,,0,,,,,,,,,,,,,,,,1
BLZ,Belize,,98.95345,77.156,0,0.08005,1.22788,20563.2633,,0.000868452,Latin America & Caribbean,,2.36524,63.72615,3.04738,82.10506,0.7126,19.19939,5.41262,145.83121,6.12522,165.0306,0,,,,,,,,,,,,,,,,0
BOL,Bolivia,0.8981,91.53051,52.744,1.017691775,0.02655,,14087.48504,,0.011726358,Latin America & Caribbean,42.2,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
BRA,Brazil,1.0517,97.59215,55.706,0.456040995,0.319209996,2.14786,28531.98669,16.69039316,-0.010381121,Latin America & Caribbean,53.9,1.57747,47603.50973,2.51894,76014.49095,1.52052,45884.88978,4.09641,123618.0007,5.61693,169502.8905,0,3434.2705,3243.0122,4329.0259,,,,5.1119156,3.9771036,1.134812,,,,,,,1
BRB,Barbados,3.7226,96.22685,91.048,0.706022433,0.379249996,3.5155,30678.41215,,-0.030914616,Latin America & Caribbean,,1.46593,65.21567,1.94623,86.5831,1.2462,56.81458,3.41216,151.79877,4.65836,208.61335,0,,,,,,,,,,,,,,,,1
BRN,Brunei Darussalam,,99.56344,67.928,1.399589889,0.826110011,1.27455,113151.3102,,-0.073003748,East Asia & Pacific,,0.86396,209.36899,2.69261,652.51496,0.83616,202.63091,3.55657,861.88395,4.39273,1064.51486,0,,,,,,,,,,,,,,,,0
BTN,Bhutan,3.5347,89.60226,10.41,0.258154892,0.10816,0.55767,17089.97899,,0.038391354,South Asia,37.4,1.9326,122.06795,3.14922,210.40239,0.62434,39.43492,5.08182,332.47034,5.70616,371.90526,0,,,,,,,,,,,,,,,,0
BWA,Botswana,2.6088,88.47135,83.174,0.461495551,0.215529998,1.26243,39836.00377,,0.020677914,Sub-Saharan Africa,53.3,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
CAF,Central African Republic,0.9339,65.384575,20.166,0.044058742,0.01018,0.1434,1903.202244,,-0.051178736,Sub-Saharan Africa,56.2,0.59528,31.37177,0.26817,14.13275,0.30237,16.6032,0.86345,45.50452,1.16582,62.10772,0,,,,,,,,,,,,,,,,0
CAN,Canada,3.4495,99.59402,100,3.089978939,2.571340013,3.22134,87138.03067,51.36455164,0.011269523,North America,33.3,1.83267,30254.85182,1.39268,20808.01911,1.65412,27762.47752,3.22535,51062.87093,4.87947,78825.34845,1,11021.13,10340.196,13309.598,3406.8386,1039.9327,11361.492,4.5076861,3.2593597,1.2483264,1.39341057,0.32779987,1.0656107,30.915613,24.384838,52.864124,1
CHE,Switzerland,3.7643,99.73761,95.684,5.125242238,4.812370014,2.66715,107879.3216,67.86246783,0.012949905,Europe & Central Asia,32.7,1.49526,8484.83433,1.81433,9942.10573,1.35838,7708.09155,3.30959,18426.94006,4.66797,26135.03161,1,18571.56471,16285.999,28298.11819,,,,4.5235225,3.2342549,1.2892676,,,,,,,1
