country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,gdp,oecd,wb_region,wb_incomegroup
ECU,Ecuador,2.3196,98.96361,46.89,11.71999969,0.116669999,2.28047,9879.767148,0,Latin America & Caribbean,Upper middle income
EGY,Egypt,0.4164,98.56545,58.908,27.6199995,0.172390001,1.58451,11202.34539,0,Middle East & North Africa,Lower middle income
ERI,Eritrea,1.2814,62.77017,,0.400000006,0.0101,0.16982,,0,Sub-Saharan Africa,Low income
ESP,Spain,3.4972,99.2874,71.702,93.99999695,1.737959993,3.65428,35696.11972,1,Europe & Central Asia,High income
EST,Estonia,3.7493,98.52829,99.872,8.599999666,2.094180012,3.34065,25939.42651,1,Europe & Central Asia,High income
ETH,Ethiopia,1.1238,82.04004,14.15,6.059999847,0.01989,0.38829,1591.490389,0,Sub-Saharan Africa,Low income
FIN,Finland,3.7632,99.03753,100,42.06000099,3.291260004,4.4409,39893.37243,1,Europe & Central Asia,High income
FJI,Fiji,2.5304,99.23096,70.7,0.600000024,0.295759997,,7600.844522,0,East Asia & Pacific,Upper middle income
FRA,France,3.5389,99.44524,81.398,198.6600021,1.632670009,2.8615,39461.10854,1,Europe & Central Asia,High income
FSM,Micronesia,,88.61882,,,0.146060001,,,0,East Asia & Pacific,Lower middle income
GAB,Gabon,2.3202,,51.802,2.120000064,0.087300001,,11803.61821,0,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,3.2646,99.17265,87.82,304.9999893,2.527370024,2.85459,39127.88071,1,Europe & Central Asia,High income
GEO,Georgia,3.2013,98.55739,95.82572,8.340000105,0.331970003,2.09753,13077.32504,0,Europe & Central Asia,Upper middle income
GHA,Ghana,1.3556,93.20759,58.506,10.51999998,0.060800001,0.67478,4988.857697,0,Sub-Saharan Africa,Lower middle income
GIN,Guinea,1.0831,75.52556,11.7,0.200000003,0.00645,0.57771,2281.502323,0,Sub-Saharan Africa,Low income
GMB,"Gambia, The",1.5069,72.8135,30.174,0.380000006,0.07019,0.136875,2644.40861,0,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,0.8078,72.6682,,0,0.02453,,1667.894105,0,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,1.282,45.53027,,0.200000003,0.01262,,14478.68128,0,Sub-Saharan Africa,Upper middle income
GRC,Greece,3.618,97.96092,65.934,28.19999924,1.577980018,5.3787,23765.18741,1,Europe & Central Asia,High income
GRD,Grenada,,98.54343,,,1.189700007,4.30986,11668.58899,0,Latin America & Caribbean,Upper middle income
GTM,Guatemala,0.8164,91.03266,29.996,2.479999971,0.01424,1.13955,7255.565826,0,Latin America & Caribbean,Upper middle income
GUY,Guyana,2.2793,96.28355,59.204,0.56000002,0.04667,0.57435,,0,Latin America & Caribbean,Upper middle income
HND,Honduras,0.5517,83.41807,30.664,2,0.01151,1.17182,4254.99271,0,Latin America & Caribbean,Lower middle income
HRV,Croatia,3.5659,97.47104,92.105,4.520000005,1.537659991,3.04461,22995.5501,0,Europe & Central Asia,High income
HTI,Haiti,0.2474,,31.044,1.799999952,0.00818,,1668.648991,0,Latin America & Caribbean,Low income
HUN,Hungary,2.788,97.48185,97.38,21.39999962,1.025240004,2.68871,22571.65238,1,Europe & Central Asia,High income
IDN,Indonesia,1.3665,95.01057,46.408,55.7400013,0.053199999,1.57323,10594.06694,0,East Asia & Pacific,Upper middle income
IND,India,0.8138,97.07888,47.046,147.4399994,0.095670001,1.19611,6421.670628,0,South Asia,Lower middle income
IRL,Ireland,3.5229,99.70186,83.868,35.79999847,2.578379989,3.13852,75916.08487,1,Europe & Central Asia,High income
IRN,Iran,2.1524,98.67898,66.39,66.59999924,0.587329993,2.81358,15964.64372,0,Middle East & North Africa,Upper middle income
IRQ,Iraq,1.4659,,43.876,8.199999809,0.101280002,,15300.65798,0,Middle East & North Africa,Upper middle income
ISL,Iceland,3.7986,99.05651,97.78,5.999999988,4.160720038,4.00917,41306.17139,1,Europe & Central Asia,High income
ISR,Israel,2.4462,99.86758,87.202,27.80000076,2.202519989,3.43487,36185.71053,1,Middle East & North Africa,High income
ITA,Italy,3.4943,98.88193,77.04,140.6000046,1.600570011,3.01556,37999.7009,1,Europe & Central Asia,High income
JAM,Jamaica,2.4069,88.32058,62.64,1.4,0.11171,1.34032,6804.956449,0,Latin America & Caribbean,Upper middle income
JOR,Jordan,2.3372,78.31182,79.096,11.8,0.336700001,1.87016,8996.941699,0,Middle East & North Africa,Upper middle income
JPN,Japan,3.8657,,90.396,290.1999954,0.974089992,,40373.75106,1,East Asia & Pacific,High income
KAZ,Kazakhstan,2.8457,99.64386,99.484,42.00000153,0.13411,2.52355,21053.26834,0,Europe & Central Asia,Upper middle income
KEN,Kenya,1.9877,85.07385,31.566,10.43999996,0.04845,0.40317,3072.033404,0,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyzstan,2.3779,98.32657,97.212,5.599999905,0.030580001,2.27982,10572.49315,0,Europe & Central Asia,Lower middle income
KHM,Cambodia,0.8347,94.52292,18.556,10.46000023,0.02022,0.68766,3161.05713,0,East Asia & Pacific,Lower middle income
KIR,Kiribati,,97.97466,,,0.047820001,,,0,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,,99.10862,,,1.030289996,3.43333,19235.06144,0,Latin America & Caribbean,High income
KOR,"Korea, Republic of",3.765,97.9544,89.512,115.1999969,1.47197001,4.7973,36264.55287,1,East Asia & Pacific,High income
KSV,Kosovo,3.0355,,,0,,,,0,Europe & Central Asia,Upper middle income
KWT,Kuwait,3.5746,97.12302,52.612,2.999999976,0.396509993,2.40303,39343.88394,0,Middle East & North Africa,High income
LAO,Laos,1.5096,93.89681,34.856,0.200000003,0.03187,0.90849,6518.45357,0,East Asia & Pacific,Lower middle income
LBN,Lebanon,2.0161,,54.22,15.2000001,0.370630002,,15059.00223,0,Middle East & North Africa,Upper middle income
LBR,Liberia,1.276,90.59959,22.182,0.600000024,0.01135,0.5214,760.735021,0,Sub-Saharan Africa,Low income
LCA,St. Lucia,,97.66887,45.42,,0.04797,0.80319,7909.063133,0,Latin America & Caribbean,Upper middle income
LIE,Liechtenstein,,97.44948,,,3.042989969,1.6107,,0,Europe & Central Asia,High income
LKA,Sri Lanka,2.4174,96.9068,78.876,4.999999905,0.06954,0.90175,12696.96282,0,South Asia,Lower middle income
LSO,Lesotho,3.2637,91.92257,23.612,0.200000003,0.02174,0.59162,3238.550667,0,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,3.4857,99.87968,92.52,14.8,1.159080005,3.66025,25992.14451,1,Europe & Central Asia,High income
LUX,Luxembourg,3.8428,97.55981,99.434,2.199999906,2.891490006,0.87161,74605.23078,1,Europe & Central Asia,High income
LVA,Latvia,3.4734,98.53581,99.006,8.4,0.927259991,3.27496,24139.60252,1,Europe & Central Asia,High income
MAR,Morocco,1.0592,94.8773,28.488,9.600000191,0.138840002,1.21722,8265.648218,0,Middle East & North Africa,Lower middle income
MCO,Monaco,,,,,3.558140016,,,0,Europe & Central Asia,High income
MDA,Moldova,2.7368,91.62136,95.216,1.399999976,0.15419,1.91638,5988.933793,0,Europe & Central Asia,Lower middle income
MDG,Madagascar,0.2789,98.0401,,1.200000048,0.01175,0.24991,1591.553311,0,Sub-Saharan Africa,Low income
MDV,Maldives,1.9709,98.38381,37.22,0,0.05042,0.90252,13829.85134,0,South Asia,Upper middle income
MEX,Mexico,1.045,99.56609,56.742,140.8799995,0.16442,1.68421,17382.65853,1,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,,83.82782,92.1,,0.097200001,1.2183,,0,East Asia & Pacific,Upper middle income
MKD,Republic of North Macedonia,2.5644,94.60591,48.18,2.519999981,0.397190002,1.9988,13396.58665,0,Europe & Central Asia,Upper middle income
MLI,Mali,1.1109,64.73299,11.61,1.279999986,0.0138,0.30704,2334.345992,0,Sub-Saharan Africa,Low income
MLT,Malta,3.7184,99.43079,74.102,0.800000012,1.259070021,2.18256,30830.99562,0,Middle East & North Africa,High income
MMR,Myanmar,0.8754,94.12882,22.63,0.200000003,0.00517,0.78732,5730.106029,0,East Asia & Pacific,Lower middle income
MNE,Montenegro,3.5388,96.9168,89.908,0.400000007,0.600290006,2.72618,17888.53443,0,Europe & Central Asia,Upper middle income
MNG,Mongolia,2.8404,98.5087,86.952,3,0.12319,3.06746,10716.01977,0,East Asia & Pacific,Lower middle income
MOZ,Mozambique,1.0177,89.94306,15.046,0.600000024,0.011,0.29607,1376.553107,0,Sub-Saharan Africa,Low income
MRT,Mauritania,0.3211,74.94082,16.566,0.400000006,0.01099,0.29229,2988.79062,0,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,3.3007,98.41859,59.26,0.800000012,0.194829999,1.8839,22827.00065,0,Sub-Saharan Africa,High income
MWI,Malawi,0.9048,98.30791,18.764,1.780000007,0.03156,0.036666667,1038.318501,0,Sub-Saharan Africa,Low income
MYS,Malaysia,3.1441,98.58923,74.436,37.60000076,0.875760001,2.10603,22775.84248,0,East Asia & Pacific,Upper middle income
NAM,Namibia,1.1483,96.80089,37.394,0.600000024,0.112270001,1.12164,10301.67606,0,Sub-Saharan Africa,Upper middle income
NER,Niger,1.1322,60.79861,5.88,0,0.00725,0.13939,908.6495462,0,Sub-Saharan Africa,Low income
NGA,Nigeria,1.178,65.98485,,15.91999998,0.03679,0.4917,4285.064439,0,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,1.1382,96.77095,43.408,4.539999962,0.01782,,5209.721014,0,Latin America & Caribbean,Lower middle income
NLD,Netherlands,3.4648,98.59678,88.432,62.00000076,3.059229994,3.77083,46601.56079,1,Europe & Central Asia,High income
NOR,Norway,3.8674,99.73119,95.524,27.15999985,3.588479972,3.7862,60590.2451,1,Europe & Central Asia,High income
NPL,Nepal,0.9848,97.79176,31.076,1.2,0.039390001,0.69713,2720.203079,0,South Asia,Lower middle income
NRU,Nauru,,91.88521,,,0.17196,,,0,East Asia & Pacific,High income
NZL,New Zealand,3.5956,98.69843,96.012,31.2,2.877560019,4.12863,36537.79477,1,East Asia & Pacific,High income
OMN,Oman,2.9039,98.89655,58.976,9.000000381,0.343709993,1.45128,27338.37493,0,Middle East & North Africa,High income
PAK,Pakistan,0.3123,68.26347,35.472,45.49999962,0.066830001,0.43995,5303.37902,0,South Asia,Lower middle income
PAN,Panama,2.1621,92.04047,66.964,3.6,0.12528,2.26555,21928.2106,0,Latin America & Caribbean,High income
PER,Peru,1.0899,99.31204,61.128,18.00000076,0.065440001,3.03587,11370.37093,0,Latin America & Caribbean,Upper middle income
PHL,Philippines,1.0435,95.61094,70.242,50.8,0.02449,1.65629,7679.175547,0,East Asia & Pacific,Lower middle income
PLW,Palau,,96.00305,97.1,,0.826069996,2.7345,,0,East Asia & Pacific,High income
PNG,Papua New Guinea,0.5101,92.6692,11.652,1,0.02046,,,0,East Asia & Pacific,Lower middle income
